exp_begin,model_id,epoch,train_loss,train_acc,train_time,valid_loss,valid_acc,valid_time,test_loss,test_acc,test_time,exp_name,act,skip,bn_layer,bn_act,sched,num_epoch,seed,lr,optim,stat_file,model_file
00:30:19,0,1,2.3191513396285073,9.331042199488492,44.09788393974304,2.3003771031738087,11.873009554140127,3.5570318698883057,2.1875732131302357,26.26953125,0.8045408725738525,exp4-optim,silu,2,all,before,const,15,3456,0.001,sgd,output/exp4-optim_model-0_stat.csv,output/exp4-optim_model-0_model.pt
00:30:19,0,2,2.2977895855598742,12.511988491048593,44.670602798461914,2.2767687102032315,15.465764331210192,3.606106758117676,2.1875732131302357,26.26953125,0.8045408725738525,exp4-optim,silu,2,all,before,const,15,3456,0.001,sgd,output/exp4-optim_model-0_stat.csv,output/exp4-optim_model-0_model.pt
00:30:19,0,3,2.2808212352835615,14.895700127877237,45.07782220840454,2.257244576314452,18.730095541401273,3.682173013687134,2.1875732131302357,26.26953125,0.8045408725738525,exp4-optim,silu,2,all,before,const,15,3456,0.001,sgd,output/exp4-optim_model-0_stat.csv,output/exp4-optim_model-0_model.pt
00:30:19,0,4,2.266023141648763,17.201486572890026,45.12781882286072,2.243041237448431,21.45700636942675,3.6444168090820312,2.1875732131302357,26.26953125,0.8045408725738525,exp4-optim,silu,2,all,before,const,15,3456,0.001,sgd,output/exp4-optim_model-0_stat.csv,output/exp4-optim_model-0_model.pt
00:30:19,0,5,2.2536582522989845,18.943813938618927,45.27525305747986,2.232727813113267,22.482085987261147,3.567362070083618,2.1875732131302357,26.26953125,0.8045408725738525,exp4-optim,silu,2,all,before,const,15,3456,0.001,sgd,output/exp4-optim_model-0_stat.csv,output/exp4-optim_model-0_model.pt
00:30:19,0,6,2.244742813317672,19.956841432225065,44.95671057701111,2.218733971285972,24.104299363057326,3.635164499282837,2.1875732131302357,26.26953125,0.8045408725738525,exp4-optim,silu,2,all,before,const,15,3456,0.001,sgd,output/exp4-optim_model-0_stat.csv,output/exp4-optim_model-0_model.pt
00:30:19,0,7,2.231908549433169,21.924952046035806,45.32262706756592,2.2072441198263957,25.71656050955414,3.57987642288208,2.1875732131302357,26.26953125,0.8045408725738525,exp4-optim,silu,2,all,before,const,15,3456,0.001,sgd,output/exp4-optim_model-0_stat.csv,output/exp4-optim_model-0_model.pt
00:30:19,0,8,2.2219016780633756,23.035885549872123,45.09429144859314,2.196265515248487,27.040207006369428,3.566835403442383,2.1875732131302357,26.26953125,0.8045408725738525,exp4-optim,silu,2,all,before,const,15,3456,0.001,sgd,output/exp4-optim_model-0_stat.csv,output/exp4-optim_model-0_model.pt
00:30:19,0,9,2.210204647020306,24.660326086956523,45.317765951156616,2.178990429374063,28.702229299363058,3.5764541625976562,2.1875732131302357,26.26953125,0.8045408725738525,exp4-optim,silu,2,all,before,const,15,3456,0.001,sgd,output/exp4-optim_model-0_stat.csv,output/exp4-optim_model-0_model.pt
00:30:19,0,10,2.199905350994881,25.851182864450127,45.28264498710632,2.168785942587883,30.04578025477707,3.6545002460479736,2.1875732131302357,26.26953125,0.8045408725738525,exp4-optim,silu,2,all,before,const,15,3456,0.001,sgd,output/exp4-optim_model-0_stat.csv,output/exp4-optim_model-0_model.pt
